source,entity_type,bank_id,record_id,name,blood_group,component,category,contact,email,address,city,state,pincode,age,quantity,units_available,event_time,updated_at,notes
RedCross,blood_bank,21,21,"Sri Venkateshwara Charitable Blood Bank, Indore",,,Hospital,+917790779946,srivenkate87@gmail.com,"605, Indore Nagar, Market Road, Indore, Madhya Pradesh - 452001",Indore,Madhya Pradesh,452001,,,,2024-04-05 06:14:32,2025-12-12 00:35:12,
RedCross,blood_bank,22,22,"National Blood Services, New Delhi",,,Blood Bank,+918869119330,nationalbl98@gmail.com,"715, New Delhi Enclave, Market Road, New Delhi, Delhi - 110023",New Delhi,Delhi,110023,,,,2017-09-28 06:48:21,2018-11-20 02:24:06,
RedCross,blood_bank,23,23,"Sri Tirupati Charitable Blood Bank, Coimbatore",,,Hospital,+919575770529,sritirupat49@gmail.com,"566, Coimbatore Enclave, MG Road, Coimbatore, Tamil Nadu - 641006",Coimbatore,Tamil Nadu,641006,,,,2010-04-25 22:04:02,2025-02-22 07:49:18,
RedCross,blood_bank,24,24,Panaji District Blood Transfusion Centre,,,NGO,+919298471886,panajidist82@hotmail.com,"167, Panaji Enclave, Station Road, Panaji, Goa - 403110",Panaji,Goa,403110,,,,2025-07-08 08:44:59,2025-08-13 19:40:10,
RedCross,blood_bank,25,25,"Government General Hospital Blood Bank, Vadodara",,,NGO,+918993631208,government29@outlook.com,"864, Vadodara Extension, Main Road, Vadodara, Gujarat - 390009",Vadodara,Gujarat,390009,,,,2024-10-08 12:17:04,2025-05-12 18:56:45,
RedCross,blood_bank,26,26,"Lifeline Blood Bank, Howrah",,,NGO,+917284412919,lifelinebl32@yahoo.co.in,"765, Howrah Sector, Market Road, Howrah, West Bengal - 711108",Howrah,West Bengal,711108,,,,2017-12-02 04:32:31,2018-12-09 01:55:07,
RedCross,blood_bank,27,27,"National Blood Services, Mumbai",,,NGO,+919409760584,nationalbl60@outlook.com,"995, Mumbai Colony, Main Road, Mumbai, Maharashtra - 400006",Mumbai,Maharashtra,400006,,,,2023-11-04 08:49:41,2024-10-17 03:18:27,
RedCross,blood_bank,28,28,"Sri Ram Charitable Blood Bank, Mumbai",,,NGO,+917545119047,sriramchar81@gmail.com,"862, Mumbai Layout, Hospital Road, Mumbai, Maharashtra - 400001",Mumbai,Maharashtra,400001,,,,2016-08-16 17:49:59,2022-07-28 00:38:20,
RedCross,blood_bank,29,29,Ahmedabad Voluntary Blood Donation Centre,,,Hospital,+918257109965,ahmedabadv31@gmail.com,"88, Ahmedabad Colony, Bypass Road, Ahmedabad, Gujarat - 380005",Ahmedabad,Gujarat,380005,,,,2024-03-05 04:08:42,2025-07-04 17:10:16,
RedCross,blood_bank,30,30,"Rotary Blood Bank and Research Centre, Vadodara",,,NGO,+917765523129,rotarybloo52@rediffmail.com,"449, Vadodara Colony, Bypass Road, Vadodara, Gujarat - 390016",Vadodara,Gujarat,390016,,,,2019-07-10 02:21:01,2026-02-12 17:14:37,
RedCross,blood_bank,31,31,Nashik Government Blood Bank,,,Blood Bank,+916923026480,nashikgove10@rediffmail.com,"286, Nashik Extension, Bypass Road, Nashik, Maharashtra - 422002",Nashik,Maharashtra,422002,,,,2009-12-19 23:59:56,2022-10-09 18:30:15,
RedCross,blood_bank,32,32,"Rotary Blood Bank and Research Centre, Ludhiana",,,Others,+919380424119,rotarybloo53@hotmail.com,"885, Ludhiana Colony, Main Road, Ludhiana, Punjab - 141008",Ludhiana,Punjab,141008,,,,2025-04-04 23:21:51,2025-05-29 07:12:12,
RedCross,blood_bank,33,33,"National Blood Services, Vadodara",,,Hospital,+919268227631,nationalbl57@gmail.com,"52, Vadodara Colony, Main Road, Vadodara, Gujarat - 390006",Vadodara,Gujarat,390006,,,,2018-11-13 13:31:30,2021-04-06 12:57:03,
RedCross,blood_bank,34,34,"Lifeline Blood Bank, Pune",,,Others,+919306284028,lifelinebl90@hotmail.com,"159, Pune Vihar, Hospital Road, Pune, Maharashtra - 411001",Pune,Maharashtra,411001,,,,2018-08-28 18:47:34,2019-05-04 23:20:03,
RedCross,blood_bank,35,35,Kanpur Thalassemia Society Blood Bank,,,Blood Bank,+917061073976,kanpurthal11@outlook.com,"71, Kanpur Extension, Cross Road, Kanpur, Uttar Pradesh - 208010",Kanpur,Uttar Pradesh,208010,,,,2014-09-09 18:15:37,2015-07-31 19:05:26,
RedCross,blood_bank,36,36,Hyderabad Thalassemia Society Blood Bank,,,NGO,+917719112790,hyderabadt31@rediffmail.com,"406, Hyderabad Vihar, Ring Road, Hyderabad, Telangana - 500019",Hyderabad,Telangana,500019,,,,2017-02-03 02:00:29,2024-01-22 18:06:04,
RedCross,blood_bank,37,37,"Sri Venkateshwara Charitable Blood Bank, Vadodara",,,NGO,+916944109232,srivenkate48@yahoo.co.in,"162, Vadodara Block, Bypass Road, Vadodara, Gujarat - 390019",Vadodara,Gujarat,390019,,,,2021-11-10 20:33:00,2025-08-08 17:19:59,
RedCross,blood_bank,38,38,"Sri Sai Baba Charitable Blood Bank, Hyderabad",,,Blood Bank,+917292431670,srisaibaba78@rediffmail.com,"735, Hyderabad Extension, Station Road, Hyderabad, Telangana - 500005",Hyderabad,Telangana,500005,,,,2021-09-01 15:16:57,2021-12-14 02:40:27,
RedCross,blood_bank,39,39,"Indian Red Cross Society Blood Bank, Gurugram",,,Others,+917684095277,indianredc21@rediffmail.com,"565, Gurugram Block, Market Road, Gurugram, Haryana - 122001",Gurugram,Haryana,122001,,,,2024-04-24 02:56:44,2024-09-23 17:02:53,
